"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.464843750E0,1.603550774E1
2.929687500E0,9.612747332E0
4.394531250E0,2.729923014E1
5.859375000E0,3.838534153E1
7.324218750E0,4.932794703E1
8.789062500E0,2.777687460E1
1.025390625E1,2.296750508E1
1.171875000E1,2.177857336E1
1.318359375E1,2.742676669E1
1.464843750E1,1.065771427E1
1.611328125E1,1.859711799E1
1.757812500E1,2.211320455E1
1.904296875E1,1.479828422E1
2.050781250E1,1.050009060E1
2.197265625E1,1.144213574E1
2.343750000E1,2.026780443E1
2.490234375E1,1.388416013E1
2.636718750E1,1.169273453E1
2.783203125E1,1.422999529E1
2.929687500E1,1.457997020E1
3.076171875E1,1.332211854E1
3.222656250E1,2.558480851E0
3.369140625E1,1.081067213E1
3.515625000E1,1.306961217E1
3.662109375E1,1.083234027E1
3.808593750E1,1.023327444E1
3.955078125E1,2.698782925E1
4.101562500E1,1.496017286E1
4.248046875E1,1.411596822E1
4.394531250E1,8.584760784E0
4.541015625E1,2.478211481E1
4.687500000E1,1.872995460E1
4.833984375E1,3.105878270E1
4.980468750E1,1.465031404E1
5.126953125E1,8.654865636E0
5.273437500E1,1.393225547E1
5.419921875E1,3.134854882E1
5.566406250E1,3.986182854E1
5.712890625E1,1.089077727E1
5.859375000E1,4.793562821E0
6.005859375E1,9.595849683E0
6.152343750E1,6.417462574E0
6.298828125E1,3.712098653E1
6.445312500E1,1.903875284E1
6.591796875E1,3.138203112E1
6.738281250E1,1.850115880E1
6.884765625E1,1.368418381E1
7.031250000E1,2.015996280E1
7.177734375E1,4.362797868E1
7.324218750E1,5.109600694E1
7.470703125E1,2.053757316E1
7.617187500E1,5.865167422E0
7.763671875E1,2.152880366E1
7.910156250E1,2.061822977E1
8.056640625E1,8.075767902E0
8.203125000E1,3.164463827E1
8.349609375E1,1.981276368E1
8.496093750E1,6.100060090E0
8.642578125E1,4.974878563E1
8.789062500E1,6.292841028E1
8.935546875E1,8.325141766E0
9.082031250E1,1.439780793E1
9.228515625E1,2.229751537E1
9.375000000E1,3.589536343E1
9.521484375E1,7.993756825E0
9.667968750E1,3.889271592E1
9.814453125E1,1.714114870E1
9.960937500E1,3.379169260E1
1.010742188E2,1.622579982E1
1.025390625E2,2.080933547E1
1.040039062E2,1.225325959E1
1.054687500E2,1.103064211E1
1.069335938E2,2.997322586E1
1.083984375E2,8.968244888E0
1.098632812E2,9.435249858E0
1.113281250E2,1.151179952E1
1.127929688E2,1.223390328E1
1.142578125E2,9.020116257E0
1.157226562E2,2.386901567E1
1.171875000E2,1.070421734E1
1.186523438E2,1.883431464E1
1.201171875E2,2.400073490E1
1.215820312E2,8.050483130E0
1.230468750E2,7.736669864E0
1.245117188E2,1.480389231E1
1.259765625E2,2.584159511E1
1.274414062E2,8.919455831E0
1.289062500E2,3.618273311E0
1.303710938E2,1.956247772E1
1.318359375E2,9.943557429E0
1.333007812E2,5.111202651E1
1.347656250E2,3.281118812E1
1.362304688E2,1.514365263E1
1.376953125E2,2.484419517E1
1.391601562E2,2.032664960E1
1.406250000E2,4.916958010E1
1.420898438E2,1.163696169E1
1.435546875E2,6.683630492E1
1.450195312E2,2.496889459E1
1.464843750E2,5.098661925E1
1.479492188E2,3.460258428E1
1.494140625E2,2.984895192E1
1.508789062E2,1.614255381E1
