"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.915039062E2,5.243170521E0
2.929687500E2,4.539873043E0
2.944335938E2,1.127328288E1
2.958984375E2,1.059943147E1
2.973632812E2,1.272770599E1
2.988281250E2,1.865569139E1
3.002929688E2,1.509626880E1
3.017578125E2,4.527377923E0
3.032226562E2,2.051849727E0
3.046875000E2,2.957738714E0
3.061523438E2,2.216265279E0
3.076171875E2,6.472797800E0
3.090820312E2,8.824535863E0
3.105468750E2,9.526291209E0
3.120117188E2,3.185857370E0
3.134765625E2,6.080506456E0
3.149414062E2,2.116956416E1
3.164062500E2,6.671989524E0
3.178710938E2,7.945620405E0
3.193359375E2,4.826907989E0
3.208007812E2,7.743849704E0
3.222656250E2,1.303158558E1
3.237304688E2,1.314988947E1
3.251953125E2,1.287442313E1
3.266601562E2,1.154334801E1
3.281250000E2,1.486957656E1
3.295898438E2,5.340710790E0
3.310546875E2,4.255405368E0
3.325195312E2,5.715161641E0
3.339843750E2,2.165825924E0
3.354492188E2,1.510495023E0
3.369140625E2,2.877108172E0
3.383789062E2,8.277127277E0
3.398437500E2,6.997961017E0
3.413085938E2,7.877463390E0
3.427734375E2,2.990285766E0
3.442382812E2,1.403651497E0
3.457031250E2,6.685628355E0
3.471679688E2,2.049944055E1
3.486328125E2,1.571578831E1
3.500976562E2,9.259128900E0
3.515625000E2,7.359815111E0
3.530273438E2,1.433416278E1
3.544921875E2,1.907288167E1
3.559570312E2,7.583630069E0
3.574218750E2,5.676948248E0
3.588867188E2,1.199800831E1
3.603515625E2,2.835812252E1
3.618164062E2,1.823331188E1
3.632812500E2,9.097544102E0
3.647460938E2,2.123546380E1
3.662109375E2,3.593221657E1
3.676757812E2,7.403612013E1
3.691406250E2,8.675290099E1
3.706054688E2,4.902918059E1
3.720703125E2,2.913187002E1
3.735351562E2,1.495237904E1
3.750000000E2,8.979787210E0
3.764648438E2,8.934629383E0
3.779296875E2,3.723768645E1
3.793945312E2,1.460300899E1
3.808593750E2,1.509550919E1
3.823242188E2,2.583049859E1
3.837890625E2,1.149577615E1
3.852539062E2,1.649836347E1
3.867187500E2,1.196283697E1
3.881835938E2,1.540076224E1
3.896484375E2,9.224477648E0
3.911132812E2,2.230213764E1
3.925781250E2,1.038897340E1
3.940429688E2,6.114501649E0
3.955078125E2,5.740458488E0
3.969726562E2,7.498190592E0
3.984375000E2,1.421244450E1
3.999023438E2,1.464304259E1
4.013671875E2,1.237405175E1
4.028320312E2,1.255504964E0
4.042968750E2,5.290483449E0
4.057617188E2,5.267188202E0
4.072265625E2,9.373394148E0
4.086914062E2,1.024845482E1
4.101562500E2,4.002075947E0
4.116210938E2,1.240900759E1
4.130859375E2,1.944092496E1
4.145507812E2,1.172163793E1
4.160156250E2,6.000758591E0
4.174804688E2,9.603276426E0
4.189453125E2,8.810524215E0
4.204101562E2,1.866103702E1
4.218750000E2,8.792331069E0
4.233398438E2,1.146365876E1
4.248046875E2,3.342262549E1
4.262695312E2,1.592125697E2
4.277343750E2,2.575246416E2
4.291992188E2,2.164438804E2
4.306640625E2,8.741040638E1
4.321289062E2,1.880608338E1
4.335937500E2,2.342170424E1
4.350585938E2,8.267021900E0
4.365234375E2,2.072796555E1
4.379882812E2,1.474430040E1
4.394531250E2,1.015510113E1
4.409179688E2,4.703394115E0
4.423828125E2,1.230675567E1
4.438476562E2,1.179783213E1
4.453125000E2,7.522219901E0
4.467773438E2,8.443374912E0
4.482421875E2,1.704150692E1
4.497070312E2,2.521560687E0
4.511718750E2,1.008580747E1
4.526367188E2,1.540487497E1
4.541015625E2,5.579806366E0
4.555664062E2,1.138141800E1
4.570312500E2,7.312588767E0
4.584960938E2,5.961378972E0
4.599609375E2,9.857633560E0
4.614257812E2,1.037491162E1
4.628906250E2,4.990492010E0
4.643554688E2,1.662819701E1
4.658203125E2,1.300907319E1
4.672851562E2,6.808087229E0
4.687500000E2,9.960870905E0
4.702148438E2,1.522785969E1
4.716796875E2,2.521680957E0
4.731445312E2,1.197687063E1
4.746093750E2,2.215795357E0
4.760742188E2,4.096302943E0
4.775390625E2,1.049049669E0
4.790039062E2,4.867718171E0
4.804687500E2,8.655051264E0
4.819335938E2,5.748690394E0
4.833984375E2,8.123601600E0
4.848632812E2,2.740244478E0
4.863281250E2,4.611778475E0
4.877929688E2,9.685816212E0
4.892578125E2,2.377633681E0
4.907226562E2,2.612388613E0
4.921875000E2,7.281200312E0
4.936523438E2,3.842885257E0
4.951171875E2,1.036773266E1
4.965820312E2,4.461320848E0
4.980468750E2,3.580015064E0
4.995117188E2,8.108682718E0
5.009765625E2,8.050836604E0
5.024414062E2,2.712126976E0
5.039062500E2,1.330610439E1
5.053710938E2,4.007620122E0
5.068359375E2,3.943452991E0
5.083007812E2,7.226259779E0
5.097656250E2,2.691871281E0
5.112304688E2,4.954324361E0
5.126953125E2,6.095888295E0
5.141601562E2,1.305785519E1
5.156250000E2,5.530807221E0
5.170898438E2,9.188084737E0
5.185546875E2,3.843762505E0
5.200195312E2,2.211154879E0
5.214843750E2,4.622238872E0
