"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.915039062E2,2.550096014E1
2.929687500E2,2.918625544E1
2.944335938E2,3.346619718E1
2.958984375E2,1.647094528E1
2.973632812E2,2.874014417E1
2.988281250E2,1.054376482E1
3.002929688E2,9.174191085E0
3.017578125E2,4.034821549E1
3.032226562E2,1.031873767E1
3.046875000E2,1.826766507E0
3.061523438E2,5.299392686E1
3.076171875E2,3.276480870E1
3.090820312E2,2.579672450E1
3.105468750E2,4.244249100E1
3.120117188E2,3.560930103E1
3.134765625E2,3.145298507E1
3.149414062E2,1.531004536E1
3.164062500E2,3.264460561E1
3.178710938E2,1.061580588E1
3.193359375E2,2.490605083E1
3.208007812E2,2.236888671E1
3.222656250E2,1.644956171E1
3.237304688E2,2.046901436E1
3.251953125E2,4.101984999E0
3.266601562E2,1.425033512E1
3.281250000E2,1.529430367E1
3.295898438E2,3.254977307E1
3.310546875E2,1.927944378E1
3.325195312E2,3.999293617E1
3.339843750E2,1.903275218E1
3.354492188E2,6.116927392E1
3.369140625E2,8.167659834E0
3.383789062E2,5.761135720E0
3.398437500E2,2.919288370E1
3.413085938E2,5.272883775E1
3.427734375E2,3.596595235E0
3.442382812E2,4.175240836E0
3.457031250E2,3.066559369E1
3.471679688E2,2.210841947E1
3.486328125E2,2.122130712E1
3.500976562E2,1.735758947E1
3.515625000E2,2.686310416E1
3.530273438E2,9.516786030E0
3.544921875E2,1.639347988E1
3.559570312E2,1.924159634E1
3.574218750E2,8.435164758E0
3.588867188E2,1.497261124E1
3.603515625E2,2.325015062E1
3.618164062E2,6.967219891E0
3.632812500E2,1.804603538E1
3.647460938E2,1.212423548E1
3.662109375E2,8.612404589E0
3.676757812E2,1.368822443E1
3.691406250E2,2.044989881E1
3.706054688E2,1.161086937E1
3.720703125E2,2.272518109E1
3.735351562E2,1.721726477E1
3.750000000E2,1.779061760E1
3.764648438E2,4.298388367E0
3.779296875E2,1.835810935E1
3.793945312E2,8.160370185E0
3.808593750E2,9.928709322E0
3.823242188E2,2.170362635E1
3.837890625E2,1.209934359E1
3.852539062E2,1.604439564E1
3.867187500E2,3.095085697E1
3.881835938E2,2.402609899E1
3.896484375E2,2.928368179E1
3.911132812E2,2.111852601E1
